path_id	entrez_id
7	3725
7	200014
7	1600
7	26027
7	51253
7	26994
7	22996
7	9372
7	606495
7	284546
7	63948
7	148979
7	55706
7	4898
7	11124
7	5563
7	1733
7	51361
7	1573
7	731
7	732
7	4070
7	114803
7	255738
7	23358
7	2060
7	200008
7	23648
8	7388
8	2166
8	260293
8	199974
8	10158
8	2301
8	1996
8	2306
8	148930
8	8569
8	374973
8	9813
8	6491
8	387338
8	84871
8	79656
8	10489
8	1580
8	1579
8	284541
8	6886
8	148932
8	64756
8	127343
8	105378696
8	51727
8	388630
8	200010
8	54558
9	2707
9	9204
9	2709
9	192670
9	55143
9	7802
9	64121
9	2899
9	79693
9	2981
9	5690
9	9967
9	127687
9	284656
9	2275
9	54933
9	3633
9	9202
9	51118
9	127703
9	6018
9	63967
9	29889
9	2701
9	7075
9	26292
9	58512
9	9783
9	113444
9	79033
9	149466
9	10946
9	128209
9	284654
9	79753
9	22887
9	105378952
9	57643
9	81025
9	4520
9	9682
9	2980
9	5792
9	127534
9	128218
9	59269
9	55929
9	5453
9	23334
9	80149
9	114034
9	10420
9	126661
9	25974
9	6487
9	127391
9	10269
9	1298
9	65243
9	55182
9	79639
9	339541
9	11004
9	6202
9	266675
9	1263
9	8643
9	8891
9	79654
9	7389
9	114625
9	51058
9	343521
9	149465
9	10969
9	64769
9	5538
9	9048
9	9670
9	533
9	149473
9	6536
9	353500
9	26508
9	51440
9	8761
9	10465
9	4904
9	149461
9	64175
9	79647
9	4725
9	5052
9	4678
9	149483
9	60313
9	51249
9	10487
9	10327
9	4352
9	991
9	64834
9	112950
9	81888
9	8704
9	149175
9	23154
9	339488
9	84842
9	339559
9	127396
9	79830
9	27285
9	54936
9	1296
9	27095
9	55700
9	79729
9	83931
9	84967
9	127700
9	64960
9	55194
9	100129924
9	374969
9	23139
9	9132
9	163732
9	200172
9	23499
9	8503
9	110117499
9	10103
9	110117498
9	541468
9	8438
9	55624
9	79717
9	79078
9	3652
9	64744
9	64789
9	100132074
9	1907
9	4802
9	22955
9	149478
9	284716
9	84217
9	728621
9	6421
9	84618
9	10450
9	656
9	64064
9	54802
9	4610
9	84879
9	1503
9	79932
9	6513
9	4595
9	1441
9	1802
9	26523
9	192669
9	100506144
10	7805
10	65979
10	54797
10	93974
10	9672
10	22826
10	83667
10	347735
10	5724
10	79570
10	9410
10	2140
10	2170
10	10076
10	728116
10	27293
10	55113
10	5928
10	81493
10	57648
10	64766
10	252995
