signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp1.nonzero_mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp2.nonzero_mean	grp1.detection	grp2.detection	grp1.detection_wp	grp2.detection_wp	grp1.mean_when_present	grp2.mean_when_present	signif_label	grp1.prop_present	grp2.prop_present	pan_prop_present
SBS96	IHC-EHC	IHC	EHC	0.111758656205865	0	5.00072520264459e-05	0.00130281535209121	0.0125077186371545	0.205685300746759	0.0157389328958476	0.0208457143141811	0	0	0.000562869245400195	0.0101618189753136	0.237641464513491	0.0125590871946947	0.0181737379405582	0.113678714859438	0.0797073170731707	0.682941176470588	0.804333333333333	0.117025104226796	0.16535859377452		0.0682730923694779	0.024390243902439	0.0537634408602151
SBS97	IHC-EHC	IHC	EHC	0.0575759661382822	0	2.57072483023735e-05	0.00673119676158186	0.0359623604840251	0.178233358893624	0.0224848596800437	0.0299397329429459	0	0	0.00262483953640754	0.0232110278617239	0.107724954932265	0.0158863301939348	0.0238294952909022	0.238939759036145	0.167772357723577	0.698125	0.657461538461539	0.0730610574823845	0.0671912921401871		0.224899598393574	0.105691056910569	0.185483870967742
SBS98	IHC-EHC	IHC	EHC	0.148014036876315	0	0	0.000219120266069733	0.00806515663215848	0.189851262771062	0.00943594581639125	0.0166634787821377	0	0	0.00143833087201068	0.0061727077144326	0.074854259571121	0.00796124319539885	0.0113864292213263	0.084710843373494	0.0786341463414634	0.660363636363636	0.6008	0.0952128810582684	0.0684229571317886		0.0441767068273092	0.040650406504065	0.0430107526881721
SBS99	IHC-EHC	IHC	EHC	0.587955502259639	0	6.60294661346811e-05	0.00257882477338172	0.0198507220953754	0.197142974090366	0.0173228314232275	0.0223491452040603	0	0.000126853656967611	0.00267861649256916	0.0207209860702737	0.132675216724308	0.0178732928530328	0.0222062123325559	0.140433734939759	0.14390243902439	0.671666666666667	0.674818181818182	0.0965258844926046	0.0967554348960288		0.0843373493975904	0.0894308943089431	0.0860215053763441
apobec	IHC-EHC	IHC	EHC	3.46447007216978e-07	0	0.00298798962847845	0.0284110922644527	0.0716511381847262	0.681968034436686	0.0575675674926732	0.0682586871698839	0	0.0233943942591774	0.0768531961611897	0.189577025621687	0.761498660527483	0.137523382254583	0.152390774930754					0.122561085017125	0.210743516690218	***	0.409638554216867	0.626016260162602	0.481182795698925
treatment	IHC-EHC	IHC	EHC	0.301544457125063	0	0.0200840033111894	0.105075435353675	0.191910353645564	0.554283129871734	0.125952649651175	0.130133650469471	0	0.0487353032041822	0.11558097662624	0.184661618272212	0.513805823725203	0.137020823188205	0.142826790272451					0.221053109939049	0.216656421503023		0.461847389558233	0.51219512195122	0.478494623655914
SBS1	IHC-PHC	IHC	PHC	0.000519595515465195	0	0.0519546659822771	0.123580239787288	0.215653198410022	0.66396281462604	0.146254823491351	0.155630132689514	0.0033824139586847	0.0998836574744344	0.178119439362111	0.313763073753805	0.54136118824649	0.205412752688723	0.205412752688723	0.77481124497992	0.87912	0.919064039408867	0.949671641791045	0.177050551083917	0.227183495388372	***	0.815261044176707	0.893333333333333	0.846774193548387
SBS10a	IHC-PHC	IHC	PHC	0.588160460052776	0	0	0	0	0.334542410946104	0.00134354381906066	0.334542410946104	0	0	0	0	0	0		0.00401606425702811	0	1		0.334542410946104			0.00401606425702811		0.00268817204301075
SBS10b	IHC-PHC	IHC	PHC	0.94139502395648	0	0	0	0	0.484331488959397	0.00210490028207443	0.174706723412177	0	0	0	0	0.000439449952213611	5.85933269618148e-06	0.000439449952213611	0.00691164658634538	9.33333333333333e-05	0.8505		0.261535133244837			0.00803212851405622		0.00537634408602151
SBS10c	IHC-PHC	IHC	PHC	0.0982458181861975	0	8.43626529607458e-05	0.00363915528654848	0.0300210174891574	0.167192825139409	0.0206013087897611	0.0263062866084642	0	0	0.0015890703353416	0.0141537536708799	0.216879598465588	0.0196643849946034	0.0300985484611276	0.188180722891566	0.141813333333333	0.802794871794872	0.773555555555556	0.0825917116315928	0.113985042131177		0.156626506024096	0.12	0.139784946236559
