signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp1.nonzero_mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp2.nonzero_mean	signif_label
SBS24	IHC-DCC	IHC	DCC	0.122253795740347	0	0.00021924703402832	0.011271618492023	0.0617718824858134	0.826650378921431	0.0582654465681548	0.0736451583526424	0	0.00165229570285432	0.0366391070967625	0.0977595042640737	0.325530936611754	0.0606963950878609	0.069126449961175	""
SBS28	IHC-DCC	IHC	DCC	0.495446452472817	0	0	0	0.00161084762982659	0.197430100273215	0.00555739824394847	0.0175163564904199	0	0	0	0.00475699970209761	0.0601433282218893	0.00684057527581411	0.0186975724205586	""
SBS29	IHC-DCC	IHC	DCC	0.156744739199772	0	0	0.000671434497680481	0.00856632469822413	0.63946318329422	0.0137840947378462	0.0206761421067693	0	0	0.00164341417851222	0.0123533337188109	0.172808027684859	0.0180972214604916	0.0247328693293386	""
SBS32	IHC-DCC	IHC	DCC	0.529390597331235	0	2.9882465938395e-05	0.00233910813069816	0.0238937828433997	0.281191306219368	0.0221297749154892	0.0288498112772608	0	0.000113019079143407	0.00188489977870361	0.0102295884664702	0.175530368795877	0.0116886863996512	0.014976129449553	""
SBS38	IHC-DCC	IHC	DCC	0.130980629055134	0	0	0	0.000792919879067784	0.149377263909373	0.00530853564156179	0.0136270657190607	0	0	4.20136199694096e-05	0.00116124122765886	0.044129628151439	0.00351930477707769	0.00655870435728114	""
SBS40a	IHC-DCC	IHC	DCC	0.138439454593533	0	0.00336427997260886	0.0353151157019464	0.175960554005115	0.57172806360286	0.105543075643585	0.125143932548822	0	0.00252887011332971	0.0199103366886247	0.063124825884157	0.264801730990445	0.0505962067317156	0.0560660669189281	""
SBS40b	IHC-DCC	IHC	DCC	0.672468773632679	0	0	0.000686417812282739	0.00753669464186405	0.252800935523562	0.0140380599620135	0.0222641842709641	0	0	0.000637000902443975	0.00387525937582629	0.0667819844196279	0.00655881884918641	0.0103427528006401	""
SBS40c	IHC-DCC	IHC	DCC	0.645528227546919	0	0.000321552231939096	0.00737624941422055	0.0482328728589103	0.600118617872537	0.0434009823031221	0.054034222967387	0	0.000443931373383956	0.00581496904425626	0.0422654164853697	0.290913097524639	0.0294498237243404	0.0365891749302411	""
SBS42	IHC-DCC	IHC	DCC	0.72264522284732	0	0.00170654533625832	0.0262884270733553	0.100719294668658	0.98451650140306	0.0667447576912484	0.0748623633564002	0	0.00156045519237133	0.0282016134759746	0.086817863357047	0.250173410993363	0.0517477788548598	0.0558331298170856	""
SBS44	IHC-DCC	IHC	DCC	0.238567172256502	0	0	0	0	0.356857456848245	0.00403206546048904	0.0456356499846259	0	0	0	0	0.0918989721993336	0.00415649603280324	0.0284027228908222	""
SBS86	IHC-DCC	IHC	DCC	0.450731920623322	0	0	0.00343200115716231	0.0295265788496432	0.237083608098127	0.0241939124017565	0.0329195857269801	0	0.000161499809092084	0.00440101105156928	0.0436451751668475	0.139052868755683	0.0257001768143008	0.0329283515433229	""
SBS87	IHC-DCC	IHC	DCC	1.09840358517176e-05	0	0.00220169043758491	0.0264816269168736	0.0947688607166431	0.531596682399392	0.0705623272730679	0.0784375870133656	7.63982612457642e-05	0.0471987817691343	0.0969349300223509	0.158018447924492	0.441431356895192	0.129224581661828	0.129224581661828	***
