cca_type,signature,pval,fdr
panCCA,SBS20,2.02475521744969e-27,2.63218178268459e-26
IHC,SBS21,6.48190218017274e-27,7.77828261620729e-26
PHC,SBS21,1.98449474953846e-09,6.3179832842449e-09
DCC,SBS21,9.26216123896764e-07,2.44897822589653e-06
panCCA,SBS21,6.11637526981128e-40,1.90830908418112e-38
IHC,SBS22a,0.00268939312690973,0.00419545327797919
PHC,SBS22a,0.000115214988663296,0.000216548653391256
DCC,SBS22a,0.000442533873417238,0.000758629497286693
panCCA,SBS22a,1.14343671280992e-07,3.3032616147842e-07
IHC,SBS22b,6.80225468659557e-17,3.78982761110324e-16
PHC,SBS22b,4.84893672940805e-06,1.09628134751834e-05
DCC,SBS22b,4.88245508408918e-05,9.5207874139739e-05
panCCA,SBS22b,6.53569323585827e-25,6.37230090496181e-24
IHC,SBS24,0.000711736255654403,0.00118117931789454
PHC,SBS24,0.632538759514168,0.666730043812231
DCC,SBS24,0.00668936150523586,0.00966241106311846
panCCA,SBS24,0.000318030476986686,0.00055744667876318
IHC,SBS28,8.39300451359712e-18,5.2372348164846e-17
PHC,SBS28,2.06970320037163e-06,4.9672876808919e-06
DCC,SBS28,0.000670564990777976,0.00112481869420822
panCCA,SBS28,2.96171900643907e-25,3.08018776669664e-24
IHC,SBS29,1.97377166761134e-06,4.81997716676337e-06
PHC,SBS29,3.75667054288721e-06,8.74687469687171e-06
DCC,SBS29,0.229418168727969,0.263156134717377
panCCA,SBS29,1.40606599828958e-10,4.87436212740388e-10
IHC,SBS32,0.714970937042244,0.738645471381391
PHC,SBS32,0.0161181201496204,0.0220563749415858
DCC,SBS32,0.178090630791749,0.207329391070991
panCCA,SBS32,0.204531042084036,0.236346981963775
IHC,SBS38,3.58508660180756e-19,2.43162395600861e-18
PHC,SBS38,0.00329104919698236,0.00503336936009066
DCC,SBS38,0.000392200475234578,0.000679814157073268
panCCA,SBS38,7.76090976957288e-23,6.37211538975457e-22
IHC,SBS40a,1.89940037040888e-15,9.87688192612618e-15
PHC,SBS40a,0.0126590161956842,0.0176322011297029
DCC,SBS40a,0.0521047299957575,0.0671763461102328
panCCA,SBS40a,3.27810561396004e-17,1.96686336837603e-16
IHC,SBS40b,1.44619860685395e-06,3.76011637782026e-06
PHC,SBS40b,0.000142762447746572,0.00026005423786787
DCC,SBS40b,0.00116011232306979,0.00188518252498841
panCCA,SBS40b,8.48780024628159e-12,3.31024209604982e-11
IHC,SBS40c,0.0105839012615621,0.0150098963345789
PHC,SBS40c,0.81649269260385,0.827096493806497
DCC,SBS40c,0.623704185658877,0.66189015620942
panCCA,SBS40c,0.017809551805848,0.0241590441888024
IHC,SBS42,2.04913704542262e-18,1.3319390795247e-17
PHC,SBS42,9.9134663686281e-08,2.91792595001129e-07
DCC,SBS42,0.0321860650237949,0.0425510690145086
panCCA,SBS42,1.86321551186165e-25,2.07615442750298e-24
IHC,SBS44,1.09418208817284e-24,1.00407297502919e-23
PHC,SBS44,7.4035697643759e-07,1.991304971108e-06
DCC,SBS44,5.81335621520887e-05,0.000111960934515134
panCCA,SBS44,3.18160673628622e-33,7.09043786943785e-32
IHC,SBS86,0.326401306189977,0.363704312611689
PHC,SBS86,0.00343590170431932,0.00520388995993994
DCC,SBS86,0.98329950353941,0.98964337130418
panCCA,SBS86,0.0359233097225151,0.0467003026392696
IHC,SBS87,6.36292147822133e-13,2.61214671211191e-12
PHC,SBS87,2.71652335739912e-05,5.57602162834555e-05
DCC,SBS87,1.9774265299542e-06,4.81997716676337e-06
panCCA,SBS87,1.32984832746791e-22,1.03728169542497e-21
IHC,SBS96,0.240658850836976,0.274034895843564
PHC,SBS96,0.0053494151009593,0.00779914724999673
DCC,SBS96,0.00324039822586674,0.00500497151718031
panCCA,SBS96,0.00201620329505691,0.00317704761645332
IHC,SBS97,0.140737773103656,0.168885327724387
PHC,SBS97,0.0352759026098363,0.0462440403960879
DCC,SBS97,0.463779619596319,0.498962901082937
panCCA,SBS97,0.640671709229016,0.670770380132392
IHC,SBS98,1.20277240459772e-05,2.60600687662838e-05
PHC,SBS98,1.24084861523291e-05,2.6516764928265e-05
DCC,SBS98,0.623704185658877,0.66189015620942
panCCA,SBS98,8.12854262426243e-09,2.48637774389204e-08
IHC,SBS99,2.60115109494681e-05,5.41039427748937e-05
PHC,SBS99,0.000612125574091431,0.0010379520604159
DCC,SBS99,4.38950851170875e-06,1.0070048938626e-05
panCCA,SBS99,3.58114985915483e-11,1.29920785587943e-10
