variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
ADGRG4,KRAS,443.550198771001,10154.2987802482,0.001,31436.5573904893,0.721988508299493,0.570180606838765,0.474351722241986,5.95885965451976,4.17498309475955,1.42727755281197,406.506872311313,10516.8447069348,23,115,6,687,831,301.018059938386,625.211521644188,8408.81903369645,12129.5315406106,,896.171552459969,12156.9059283682,67130.4775815402
ADGRG4,LAMA1,412.533081621334,170.045861802948,0.001,1930.35258868126,0.966941484175308,0.765299569375277,0.0358709784614267,4.63231256079351,1.06735248721153,4.34000259173562,406.506872308251,197.946800065029,25,22,4,780,831,280.016372153253,581.450158352773,108.517069814003,251.333965234484,,4723.87241201482,585.351421804428,4712.10737175763
ADGRG4,LAMA2,411.782048909853,286.776071545848,0.001,5030.51903713413,0.933566089057582,0.577544622672902,0.00299874306400114,5.92254599481954,0.995929136616398,5.94675441963772,406.506872313333,357.095820588136,24,19,5,783,831,279.505737418189,580.383986376365,176.381754552991,435.748842446252,,5137.9339736361,1755.29899270952,11415.4326589123
ADGRG4,LRP1B,420.234934107753,183.106079631019,0.001,1600.29351414662,0.887957173722376,0.396878183700514,0.0197457576375413,7.10250592200674,2.13437261617779,3.32767852631366,406.506872310896,203.333008557257,23,48,6,754,831,285.235764867907,592.315620206864,136.059264379818,239.927091766371,,2286.50987192583,616.489130476261,3440.42488646624
ADGRG4,LRP2,414.904961837435,300.163012646875,0.001,2066.44326455429,0.877140493132034,0.570371304894378,0.207663630198537,3.55798700564662,1.21204532688762,2.93552305901224,406.506872311924,328.317315157661,26,27,3,775,831,281.621399492018,584.796425762834,200.698436984192,428.069804046385,,2840.44733867851,505.372548675756,5567.6005950607
ADGRG4,LRRIQ1,409.476468596334,280.742603346944,0.001,8432.64837042329,0.975851807642191,0.788247222472446,0.000398708904572854,5.76544734665997,0.65618317087995,8.78633833130531,406.506872309775,402.602828293153,24,11,5,791,831,277.942264207606,577.131006151263,145.7754296875,480.829338013509,,10058.1065392943,2944.97479294289,19096.522940404
ADGRG4,MACF1,353.732783511811,999.605492527699,0.001,5613.86324581607,0.953092973203183,0.80228948506424,0.465722096782158,2.14081537884425,0.869501254581373,2.46211879231268,345.966241454715,1070.62512400197,18,23,2,622,665,220.464911252011,532.225256602355,644.69329898728,1465.69801972362,,3170.81527019087,916.278255078053,18240.7165971407
ADGRG4,MED12,411.850717120252,433.602942834782,0.001,4668.97887750621,0.920687774627693,0.590553203002312,0.0871513898225583,3.26785074942156,0.759956817194689,4.30004794415101,406.50687231178,506.291211533373,26,16,3,786,831,279.550252272025,580.485807207846,254.320772230832,682.123502902812,,4531.27151077096,1141.00389767869,12602.3629097625
ADGRG4,NF1,413.64722341643,479.064546046854,0.001,8487.92958958217,0.842480219774524,0.151572687246684,0.00246606904127211,6.07584933579273,0.988994160565501,6.14346330651598,406.506872311133,591.017479565066,24,20,5,782,831,280.765840349713,583.017780479033,298.584924133916,720.780425757644,,3313.16195859379,2965.49065764346,19204.3884110725
ADGRG4,NRAS,410.785553733928,3548.22447420908,0.001,0.001,0.74321874441329,0.770514999871926,0.572679618159845,8.19454332408494e-07,0.581958666346873,1.40809713781298e-06,406.506872311591,3495.04025780788,29,17,0,785,831,278.78725479956,578.884898399622,2118.17328006139,5514.119988124,,2690.70216953888,,26217.6349129574
ADGRG4,PBRM1,414.259742121873,614.230795878443,0.001,5453.9766204919,0.825455907796478,0.372064785803276,0.11632382684387,3.55941901429693,0.973623075019695,3.65584907098152,406.506872309514,691.048852620622,26,21,3,781,831,281.183500874747,583.887026638781,387.54904202143,915.700823504192,,2776.98266597575,1334.80035336469,14668.6782770758
ADGRG4,PEG3,367.351827506117,190.894202487218,5003.90083605212,0.001,0.692857304847812,0.972533760079746,0.0487239534852801,4.13939600741809,0.80110688767251,5.16709576601502,406.50687230894,188.075984164744,26,16,3,786,831,243.625862705286,527.211384140545,117.410455470171,290.0558018104,1213.41661239638,13772.6023607306,,2977.27744244859
ADGRG4,PIK3CA,416.815406873481,1005.6671117905,0.001,5737.23255211116,0.848750241721257,0.552533913530974,0.282833913346353,3.70495893180546,1.48129246797448,2.50116638807434,406.50687231148,1076.05715731797,26,35,3,767,831,282.917132608806,587.491569628613,708.189188699133,1376.69374091653,,2308.15221029417,1404.74566868011,15414.014621523
ADGRG4,PLEC,413.311486035331,235.6887314304,0.001,1462.03853594526,0.867627956089495,0.588432295909905,0.378371908162354,2.17371853185677,0.789436978393129,2.75350482856946,406.506872311363,257.331182106613,27,18,2,784,831,280.539321449494,582.551927347832,142.882971869349,361.96123894722,,3093.57189232574,240.122158503209,4665.8780102517
ADGRG4,POLE,410.6215760543,262.0509744192,0.000999999999976353,4540.67203645081,0.898355835684024,0.337794938031986,0.0282856434476356,3.41822650598736,0.530184634409208,6.44723796983732,406.506872311355,328.472274733352,26,11,3,791,831,278.723368138821,578.760069745023,136.062465291526,448.788962080997,,5187.84570189533,1111.56965347655,12207.5656826329
ADGRG4,PREX2,375.968970474153,202.823020517096,4192.11702887971,524.475038249306,0.9605783599197,0.99892271462468,0.0462143694384384,3.7508321133337,0.6831661238518,5.49036607990148,406.506872309793,207.477925276966,26,14,3,788,831,249.555904482709,539.035744807315,118.38754977753,319.077572719561,309.257562881077,13269.70080008,,4566.05973218534
ADGRG4,PTPRT,409.590457683126,99.7438976392774,0.001,1847.18460468114,0.954545947658249,0.580916028596697,0.0263512853522619,3.53076303408278,0.532950300540059,6.62493863030929,406.506872309889,127.667049956808,26,10,3,792,831,278.033650734295,577.319745890129,49.9769348573348,174.943636226003,,7659.41743406856,450.418771847033,4994.05820885528
ADGRG4,RASA1,411.563908248869,317.346472445893,0.001,4169.4895262692,0.89005523801374,0.405847586999175,0.0536045869969924,3.55115686542695,0.705665921223399,5.03234853579209,406.506872311016,379.302470835095,26,14,3,788,831,279.356027679709,580.080964964414,178.775468564568,513.809165118943,,4379.81361783103,1018.03888242653,11278.1058450659
ADGRG4,ROBO2,410.438065240324,223.422676787413,0.001,1840.73016998224,0.976364384523399,0.879389353977286,0.293740500121053,2.32019865301741,0.666428984034384,3.48153923163957,406.50687231047,251.085367932488,27,14,2,788,831,278.594300334712,578.48762850877,125.864264355305,361.737943530152,,5949.81457799007,301.613613624635,5913.09254090348
ADGRG4,ROS1,409.036657645963,204.329344175407,0.001,4346.11151813202,0.971206294803675,0.684402397483811,0.0190637198934676,3.5254853478211,0.472895829785908,7.45509925392487,406.506872313125,268.365709198775,26,9,3,793,831,277.644458355869,576.508631590411,98.1817014970805,368.350680626286,,9794.00203085221,1063.8548614686,11683.8552240903
ADGRG4,RYR1,352.427941453778,274.892973733144,0.001,1845.85270447439,0.975147231384411,0.813411232445324,0.382114447761942,2.17072837146212,0.751021701763165,2.89036703781786,345.966241453439,299.431548500379,18,19,2,626,665,219.653704114492,530.255673976485,169.065324244344,417.71744105588,,3868.17921137433,300.280557154247,6053.34925104038
